service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NOV25-AlbRMB-Weekday-15,1,1,1,1,1,0,0,20260120,20260213
NOV25-AlbRMB-Weekday-15-0100000,0,1,0,0,0,0,0,20260120,20260213
NOV25-AlbRMB-Weekday-15-0001000,0,0,0,1,0,0,0,20260120,20260213
NOV25-AlbRMB-Weekday-15-0000100,0,0,0,0,1,0,0,20260120,20260213
NOV25-AlbRMB-Weekday-15-1111000,1,1,1,1,0,0,0,20260120,20260213
NOV25-AlbRMB-Saturday-21,0,0,0,0,0,1,0,20260124,20260221
NOV25-AlbRMB-Sunday-31,0,0,0,0,0,0,1,20260125,20260215
NOV25-AlbRMB-Weekday-17,1,1,1,1,1,0,0,20260216,20260216
NOV25-AlbRMB-Weekday-16,1,1,1,1,1,0,0,20260217,20260220
NOV25-AlbRMB-Weekday-16-0100000,0,1,0,0,0,0,0,20260217,20260220
NOV25-AlbRMB-Weekday-16-0001000,0,0,0,1,0,0,0,20260217,20260220
NOV25-AlbRMB-Weekday-16-0000100,0,0,0,0,1,0,0,20260217,20260220
NOV25-GFRMB-Weekday-10,1,1,1,1,1,0,0,20260120,20260213
NOV25-GFRMB-Saturday-21,0,0,0,0,0,1,0,20260124,20260221
NOV25-GFRMB-Weekday-12,1,1,1,1,1,0,0,20260216,20260216
NOV25-GFRMB-Weekday-11,1,1,1,1,1,0,0,20260217,20260220
NOV25-NX-Weekday-03,1,1,1,1,1,0,0,20260120,20260220
NOV25-SarRMB-Weekday-10,1,1,1,1,1,0,0,20260120,20260220
NOV25-SarRMB-Weekday-10-0100000,0,1,0,0,0,0,0,20260120,20260220
NOV25-SarRMB-Weekday-10-0001100,0,0,0,1,1,0,0,20260120,20260220
NOV25-SarRMB-Saturday-21,0,0,0,0,0,1,0,20260124,20260221
NOV25-SarRMB-Sunday-30,0,0,0,0,0,0,1,20260125,20260215
NOV25-SarRMB-Weekday-12,1,1,1,1,1,0,0,20260216,20260216
NOV25-SchRMB-Weekday-10,1,1,1,1,1,0,0,20260120,20260213
NOV25-SchRMB-Saturday-20,0,0,0,0,0,1,0,20260124,20260221
NOV25-SchRMB-Sunday-30,0,0,0,0,0,0,1,20260125,20260215
NOV25-SchRMB-Weekday-13,1,1,1,1,1,0,0,20260216,20260216
NOV25-SchRMB-Weekday-12,1,1,1,1,1,0,0,20260217,20260220
NOV25-Star-Weekday-01,1,1,1,1,1,0,0,20260120,20260220
NOV25-Star-Weekday-01-0001000,0,0,0,1,0,0,0,20260120,20260220
NOV25-TroyRMB-Weekday-10,1,1,1,1,1,0,0,20260120,20260213
NOV25-TroyRMB-Weekday-10-0010000,0,0,1,0,0,0,0,20260120,20260213
NOV25-TroyRMB-Weekday-10-0000100,0,0,0,0,1,0,0,20260120,20260213
NOV25-TroyRMB-Saturday-20,0,0,0,0,0,1,0,20260124,20260221
NOV25-TroyRMB-Sunday-30,0,0,0,0,0,0,1,20260125,20260215
NOV25-TroyRMB-Weekday-14,1,1,1,1,1,0,0,20260216,20260216
NOV25-TroyRMB-Weekday-12,1,1,1,1,1,0,0,20260217,20260220
NOV25-TroyRMB-Weekday-12-0010000,0,0,1,0,0,0,0,20260217,20260220
NOV25-TroyRMB-Weekday-12-0000100,0,0,0,0,1,0,0,20260217,20260220
