fare_id,route_id,origin_id,destination_id,contains_id
base,1-247,,,
base,10-247,,,
base,12-247,,,
base,13-247,,,
base,18-247,,,
base,22-247,,,
base,85-247,,,
base,87-247,,,
base,93-247,,,
base,100-247,,,
base,106-247,,,
base,107-247,,,
base,114-247,,,
base,117-247,,,
base,125-247,,,
base,155-247,,,
base,182-247,,,
base,214-247,,,
base,224-247,,,
base,233-247,,,
base,286-247,,,
base,289-247,,,
base,351-247,,,
base,353-247,,,
base,355-247,,,
base,370-247,,,
base,402-247,,,
base,404-247,,,
base,405-247,,,
base,407-247,,,
base,411-247,,,
base,412-247,,,
base,419-247,,,
base,450-247,,,
base,452-247,,,
base,519-247,,,
base,524-247,,,
base,560-247,,,
base,600-247,,,
base,601-247,,,
base,605-247,,,
base,712-247,,,
base,713-247,,,
base,737-247,,,
base,763-247,,,
base,801-247,,,
base,802-247,,,
base,803-247,,,
base,804-247,,,
base,805-247,,,
base,806-247,,,
base,807-247,,,
base,808-247,,,
base,810-247,,,
base,811-247,,,
base,812-247,,,
base,813-247,,,
base,815-247,,,
base,821-247,,,
base,840-247,,,
baseBP,905-247,,,
baseBP,910-247,,,
baseBP,922-247,,,
baseBP,923-247,,,
nx_zone_1,540-247,,,1
nx_zone_2,540-247,,,2
nx_zone_3,540-247,,,3
