route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
1-247,1,1,"Central Avenue","Central Avenue, between Colonie Center and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=1,123573,FFFFFF,1
10-247,1,10,"Western Avenue","Western Avenue, between Crossgates Mall and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=10,123573,FFFFFF,2
12-247,1,12,"Washington Avenue","Washington Avenue, between Crossgates Mall, Crossgates Commons, UAlbany and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=12,123573,FFFFFF,3
13-247,1,13,"New Scotland Avenue","New Scotland Avenue, between Downtown Albany via St. Peter's Hospital and Albany Medical Center (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=13,123573,FFFFFF,4
18-247,1,18,"Delaware Avenue","Delaware Avenue, between Albany via Delmar (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=18,123573,FFFFFF,5
22-247,1,22,"Albany - Troy via Watervliet","Albany/Troy via Watervliet, between Empire State Plaza, Albany and Fulton & 4th, Troy (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=22,123573,FFFFFF,6
85-247,1,85,"Fifth Avenue","Between Lansingburgh, South Troy via 5th Avenue and 4th Street (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=85,123573,FFFFFF,7
87-247,1,87,"Hoosick St - RPI","Downtown Troy between State St. & 4th Ave, Brunswick Plaza, Hoosick St and Burdett Ave  (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=87,123573,FFFFFF,8
93-247,1,93,"Star","",3,https://www.cdta.org/schedules-route-detail?route_id=93,123573,FFFFFF,9
96-247,1,96,"Grafton State Park","Downtown Troy, via Hoosick St., Route 7 (summer service-7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=96,A52A2A,FFFFFF,10
100-247,1,100,"Mid City Belt","Pearl Street, Morton Avenue, Quail Street, Livingston Avenue and Lark Drive (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=100,008000,FFFFFF,11
