route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
712-247,NOV25-AlbRMB-Weekday-15,13038943-NOV25-AlbRMB-Weekday-15,"UAlbany Collins Circle to Quail/WAMC",0,7120461,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038944-NOV25-AlbRMB-Weekday-15,"Quail/WAMC to UAlbany Collins Circle",1,7120462,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038945-NOV25-AlbRMB-Weekday-15,"Quail/WAMC to UAlbany Collins Circle",1,7120462,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038946-NOV25-AlbRMB-Weekday-15,"Quail/WAMC to UAlbany Collins Circle",1,7120462,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038947-NOV25-AlbRMB-Weekday-15,"UAlbany Collins Circle to Quail/WAMC",0,7120461,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038948-NOV25-AlbRMB-Weekday-15,"UAlbany Collins Circle to Quail/WAMC",0,7120461,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038949-NOV25-AlbRMB-Weekday-15,"UAlbany Collins Circle to Quail/WAMC",0,7120461,1,1
524-247,NOV25-AlbRMB-Weekday-15,13038950-NOV25-AlbRMB-Weekday-15,"AM 80 Broadway via ESP Concourse back to 80 Broadway",0,5240171,1,1
813-247,NOV25-AlbRMB-Weekday-15-0100000,13038951-NOV25-AlbRMB-Weekday-15-0100000,"St. Sophia Apartments to Crossgates",0,8130105,1,1
813-247,NOV25-AlbRMB-Weekday-15-0100000,13038952-NOV25-AlbRMB-Weekday-15-0100000,"Ravena to Albany",0,8130103,1,1
813-247,NOV25-AlbRMB-Weekday-15-0100000,13038953-NOV25-AlbRMB-Weekday-15-0100000,"Albany to Ravena",1,8130108,1,1
811-247,NOV25-AlbRMB-Weekday-15-0001000,13038954-NOV25-AlbRMB-Weekday-15-0001000,"Crossgates Mall to Guilderland Town Hall",1,8110045,1,1
811-247,NOV25-AlbRMB-Weekday-15-0001000,13038955-NOV25-AlbRMB-Weekday-15-0001000,"Guilderland Town Hall to Crossgates Mall",0,8110043,1,1
524-247,NOV25-AlbRMB-Weekday-15,13038956-NOV25-AlbRMB-Weekday-15,"AM 80 Broadway to State St",0,5240168,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038957-NOV25-AlbRMB-Weekday-15,"Quail/WAMC to UAlbany Collins Circle",1,7120462,1,1
712-247,NOV25-AlbRMB-Weekday-15,13038958-NOV25-AlbRMB-Weekday-15,"Quail/WAMC to UAlbany Collins Circle",1,7120462,1,1
524-247,NOV25-AlbRMB-Weekday-15,13038959-NOV25-AlbRMB-Weekday-15,"AM 80 Broadway to State St",0,5240168,1,1
